QID,Question,Option 1,Option 2,Option 3,Option 4,Correct option,Difficulty
1,What is a data structure?,A programming language,A collection of algorithms,A way to store and organize data,A type of computer hardware,c,Easy
2,What are the disadvantages of arrays?,Index value of an array can be negative,Elements are sequentially accessed,Data structure like queue or stack cannot be implemented,There are chances of wastage of memory space if elements inserted in an array are lesser than the allocated size,d,Easy
3,Which data structure is used for implementing recursion?,Stack,Queue,List,Array,a,Easy
4,The data structure required to check whether an expression contains a balanced parenthesis is?,Queue,Stack,Tree,Array,b,Easy
5,Which of the following is not the application of stack?,Data Transfer between two asynchronous process,Compiler Syntax Analyzer,Tracking of local variables at run time,A parentheses balancing program,a,Easy
6,Which data structure is needed to convert infix notation to postfix notation?,Tree,Branch,Stack,Queue,c,Easy
7,Which of the following statement(s) about stack data structure is/are NOT correct?,Top of the Stack always contain the new node,Stack is the FIFO data structure,Null link is present in the last node at the bottom of the stack,Linked List are used for implementing Stacks,b,Easy
8,Which data structure is based on the Last In First Out (LIFO) principle?,Tree,Linked List,Stack,Queue,c,Easy
9,What is a bit array?,Data structure that compactly stores bits,Data structure for representing arrays of records,Array in which elements are not present in continuous locations,An array in which most of the elements have the same value,a,Easy
10,Which of the following data structures can be used for parentheses matching?,n-ary tree,queue,priority queue,stack,d,Easy
11,What is the need for a circular queue?,easier computations,implement LIFO principle in queues,effective usage of memory,to delete elements based on priority,c,Easy
12,What is an AVL tree?,a tree which is unbalanced and is a height balanced tree,a tree which is balanced and is a height balanced tree,a tree with atmost 3 children,a tree with three children,b,Easy
13,Which is the most appropriate data structure for reversing a word?,stack,queue,graph,tree,a,Easy 
14,In linked list each node contains a minimum of two fields. One field is data field to store the data second field is?,Pointer to character,Pointer to integer,Pointer to node,Node,c,Easy
15,Which of the following is false about a doubly linked list?,We can navigate in both the directions,It requires more space than a singly linked list,The insertion and deletion of a node take a bit longer,Implementing a doubly linked list is easier than singly linked list,d,Easy
16,What is the value of the postfix expression 6 3 2 4 + – *?,74,-18,22,40,b,Normal
17,What data structure would you mostly likely see in non recursive implementation of a recursive algorithm?,Stack,linked list,tree,queue,a,Normal
18,The data structure required for Breadth First Traversal on a graph is?,Array,Stack,Tree,Queue,d,Normal
19,The prefix form of A-B/ (C * D ^ E) is?,-A/B*C^DE,-A/BC*^DE,-ABCD*^DE,-/*^ACBDE,a,Normal
20,Which of the following tree data structures is not a balanced binary tree?,Splay tree,B-tree,AVL tree,Red-black tree,b,Normal
21,Which of the following is not the type of queue?,Priority queue,Circular queue,Single ended queue,Ordinary queue,c,Normal
22,Which of the following is the most widely used external memory data structure?,B-tree,Red-black tree,AVL tree,Both AVL tree and Red-black tree,a,Normal
23,Which of the following data structure can provide efficient searching of the elements?,binary search tree,unordered lists,2-3 tree,treap,c,Normal
24,The optimal data structure used to solve Tower of Hanoi is _________,Tree,Heap,Priority queue,Stack,d,Normal
25,What is the advantage of a hash table as a data structure?,easy to implement,faster access of data,exhibit good locality of reference,very efficient for less number of entries,b,Normal
26,What is a dequeue?,A queue implemented with both singly and doubly linked lists,A queue with insert/delete defined for front side of the queue,A queue with insert/delete defined for both front and rear ends of the queue,A queue implemented with a doubly linked list,c,Normal
27,"What would be the asymptotic time complexity to add a node at the end of singly linked list, if the pointer is initially pointing to the head of the list?",O(1),O(n),?(n),?(1),c,Normal
28,What kind of linked list is best to answer questions like “What is the item at position n?”,Singly linked list,Doubly linked list,Circular linked list,Array implementation of linked list,d,Normal
29,Which of the following is false about a circular linked list?,Every node has a successor,Time complexity of inserting a new node at the head of the list is O(1),Time complexity for deleting the last node is O(n),We can traverse the whole circular linked list by starting from any point,b,Normal
30,Space complexity for an adjacency list of an undirected graph having large values of V (vertices) and E (edges) is ___________,O(E),O(V*V),O(E+V),O(V),c,Normal
31,Which of the following application makes use of a circular linked list?,Recursive function calls,Undo operation in a text editor,Implement Hash Tables,Allocating CPU to resources,d,Hard
32,Which type of data structure is a ternary heap?,Hash,Array,Priority Stack,Priority Queue,d,Hard
33,What is simple uniform hashing?,Every element has equal probability of hashing into any of the slots,A weighted probabilistic method is used to hash elements into the slots,Elements has Random probability of hashing into array slots,Elements are hashed based on priority,a,Hard
34,"In simple uniform hashing, what is the search complexity?",O(n),O(logn),O(nlogn),O(1),d,Hard
35,What is the maximum number of possible non zero values in an adjacency matrix of a simple graph with n vertices?,(n*(n-1))/2,(n*(n+1))/2,n*(n-1),n*(n+1),c,Hard
36,Which of these adjacency matrices represents a simple graph?,"[ [1, 0, 0], [0, 1, 0], [0, 1, 1] ]","[ [1, 1, 1], [1, 1, 1], [1, 1, 1] ]","[ [0, 0, 1], [0, 0, 0], [0, 0, 1] ]","[ [0, 0, 1], [1, 0, 1], [1, 0, 0] ]",d,Hard
37,What is the hash function used in Double Hashing?,(h1(k) – i*h2(k))mod m,h1(k) + h2(k),(h1(k) + i*h2(k))mod m,(h1(k) + h2(k))mod m,c,Hard
38,What is the location of a parent node for any arbitary node i?,(i/2) position,(i+1)/ position,floor(i/2) position,ceil(i/2) position,c,Hard
39,What is the time complexity of balancing parentheses algorithm?,O (N),O (N log N),O (M log N),O (N2),a,Hard
40,How many passes does the balancing symbols algorithm makes through the input?,one ,two,three,four,a,Hard
41,Which of the following statement is invalid with respect to balancing symbols?,[(A+B) + (C-D)],[{A+B}-{C-[D+E]}],((A+B) + (C+D), {(A+B) + [C+D]},c,Hard
42, Floyd Warshall Algorithm used to solve the shortest path problem has a time complexity of __________,O(V*V),O(V*V*V), O(E*V),O(E*E),b,Hard
43,"Assuming value of every weight to be greater than 10, in which of the following cases the shortest path of a directed weighted graph from 2 vertices u and v will never change?",add all values by 10,subtract 10 from all the values,multiply all values by 10,in both the cases of multiplying and adding by 10,c,Hard
44,What is the maximum possible number of edges in a directed graph with no self loops having 8 vertices?,28,64,256,56,d,Hard
45,"In case of insertion into a linked queue, a node borrowed from the __________ list is inserted in the queue.",AVAIL,FRONT,REAR,NULL,a,Hard
46,"In linked list implementation of a queue, front and rear pointers are tracked. Which of these pointers will change during an insertion into a NONEMPTY queue?",Only front pointer,Only rear pointer,Both front and rear pointer,No pointer will be changed,b,Normal
47,"In linked list implementation of a queue, front and rear pointers are tracked. Which of these pointers will change during an insertion into EMPTY queue?",Only front pointer,Only rear pointer,Both front and rear pointer,No pointer will be changed,c,Normal
48,"In linked list implementation of a queue, from where is the item deleted?",At the head of link list,At the centre position in the link list,At the tail of the link list,Node before the tail,a,Easy
49,"In linked list implementation of a queue, the important condition for a queue to be empty is?",FRONT is null,REAR is null,LINK is empty,FRONT==REAR-1,a,Easy
50,The essential condition which is checked before insertion in a linked queue is?,Underflow ,Overflow,Front Value,Rear Value,b,Easy
51,What is the load factor for an open addressing technique?,1,0,0.5,5,c,Hard
52,Which one of the following data structures are preferred in database-system implementation?,AVL Tree,B-Tree,B+ Tree,Splay Tree,c,Hard
53,What maximum difference in heights between the leafs of a AVL tree is possible?,log(n) where n is the number of nodes,n where n is the number of nodes,0 or 1,Atmost 1,a,Hard
54, How can you save memory when storing color information in Red-Black tree?,using least significant bit of one of the pointers in the node for color information,using another array with colors of each node,storing color information in the node structure,using negative and positive numbering,a,Hard
55,Which of the following is the efficient data structure for searching words in dictionaries?,BST,Linked List,Balanced BST,Trie,d,Hard
56,"When we have red-black trees and AVL trees that can perform most of operations in logarithmic times, then what is the need for splay trees?",no there is no special usage,"In real time it is estimated that 80% access is only to 20% data, hence most used ones must be easily available",redblack and AVL are not upto mark,they are just another type of self-balancing binary search trees,b,Hard
57,We are given a set of n distinct elements and an unlabelled binary tree with n nodes. In how many ways can we populate the tree with the given set so that it becomes a binary search tree?,0,1,n!,1/n+1,b,Hard
58,Which of the following is true?,"larger the order of B-tree, less frequently the split occurs","larger the order of B-tree, more frequently the split occurs","smaller the order of B-tree, more frequently the split occurs","smaller the order of B-tree, less frequently the split occurs",a,Hard
59,Five node splitting operations occurred when an entry is inserted into a B-tree. Then how many nodes are written?,14,7,11,5,c,Hard
60,A dictionary has a set of ------- and each key has a single associated value.,Keys,Index,Both front and rear pointer,None of the above,a,Hard
61,"Consider a hash table of size seven, with starting index zero, and a hash function (3x + 4)mod7. Assuming the hash table is initially empty, which of the following is the contents of the table when the sequence 1, 3, 8, 10 is inserted into the table using closed hashing? Note that '_' denotes an empty location in the table.",8 - - - - - 10,1 8 10 - - - 3,1 - - - - - 3,1 10 8 - - - 3,b,Hard
62,Which hashing technique is free from clustering?,Linear Probing,Double hashing,Quadratic hashing,Rehashing,b,Hard
63,We are given a set of n distinct elements and an unlabelled binary tree with n nodes. In how many ways can we populate the tree with the given set so that it becomes a binary search tree?,0,1,n!,(1/(n+1)).2nCn,b,Hard
64, Which hash function is used in the division method?,h(k) = k/m,h(k) = k mod m,h(k) = m/k,h(k) = m mod k,b,Hard
65,When it would be optimal to prefer Red-black trees over AVL trees?,when there are more insertions or deletions,when more search is needed,when tree must be balanced,when log(nodes) time complexity is needed,a,Hard
66,What is the special property of red-black trees and what root should always be?,a color which is either red or black and root should always be black color only,height of the tree,a color which is either green or black,pointer to next node,a,Hard
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
